route_id,service_id,trip_id,trip_headsign,direction_id,direction,block_id,shape_id,wheelchair_accessible,branch_letter,boarding_type
87,1,1131281,Rosedale / Cleveland Ave / U of M,0,NB,156354,770087001,1,,0
4,1,1131282,Lyndale-Lake,0,NB,160505,770004003,1,X,0
323,1,1131283,Woodwinds Hosp / Londin Ln / Sun Ray TC,1,WB,156675,770323002,1,,0
724,1,1131285,Starlite Ctr,0,NB,160345,770724001,1,,0
4,3,1131286,Johnson St / Silver Lk Vlg / Via Penn,0,NB,156623,770004007,1,B,0
534,1,1131288,Lyndale / American Blvd / Norm Coll,1,WB,156331,770534001,1,,0
72,2,1131289,Selby-Burns / Sun Ray,0,EB,156387,770072001,1,,0
83,1,1131290,Lexington Pkwy / Rosedale,0,NB,156204,770083001,1,,0
5,2,1131292,Chicago - 56St,1,SB,161288,770005006,1,B,0
80,1,1131294,White Bear / Maplwd Mall,0,NB,156508,770080002,1,,0
219,1,1131296,Sun Ray,1,SB,156595,770219001,1,,0
83,1,1131299,Lexington Pkwy / Montreal Ave,1,SB,156002,770083002,1,,0
4,1,1131300,Johnson St / Silver Lk Vlg / Via Penn,0,NB,156708,770004005,1,B,0
72,3,1131301,Selby-Burns / Sun Ray,0,EB,156588,770072001,1,,0
65,2,1131304,Dale & Grand,1,SB,155928,770065002,1,,0
65,3,1131306,Dale & Grand,1,SB,156318,770065002,1,,0
724,1,1131308,Brklyn Ctr / Transit Ctr,1,SB,156443,770724003,1,,0
54,2,1131309,Ltd Stop / Mall Amer / Via Airport,1,WB,161732,770054008,1,,0
72,3,1131311,Selby-Burns / Sun Ray,0,EB,156053,770072001,1,,0
4,3,1131318,Lyndale Av / Knox - American,1,SB,156623,770004008,1,L,0
724,1,1131320,Starlite Ctr,0,NB,156154,770724001,1,,0
219,1,1131324,Sun Ray,1,SB,156061,770219001,1,,0
72,3,1131326,Selby-Burns / University & Hamline,1,WB,156588,770072003,1,,0
65,2,1131330,Dale St / Rosedale,0,NB,156348,770065001,1,,0
83,3,1131331,Lexington Pkwy / Montreal Ave,1,SB,156144,770083002,1,,0
725,1,1131333,85 Ave / Starlite Ctr / Osseo,1,WB,156110,770725002,1,,0
724,1,1131337,Starlite Ctr,0,NB,156022,770724001,1,,0
65,1,1131339,Dale & Grand,1,SB,156138,770065002,1,,0
724,1,1131341,Brklyn Ctr / Transit Ctr,1,SB,156633,770724003,1,,0
323,3,1131348,Woodwinds Hosp / Londin Ln / Sun Ray TC,1,WB,156270,770323002,1,,0
716,1,1131349,Douglas Dr / Brklyn Pk / Welcome,0,NB,155991,770716004,1,A,0
546,2,1131355,Valley West / Norm Village / Norm Coll,1,WB,155996,770546001,1,,0
83,1,1131359,Lexington Pkwy / Montreal Ave,1,SB,156573,770083002,1,,0
323,2,1131361,LondinLn / WoodwindsHosp / WoodburyVilla,0,EB,156104,770323001,1,,0
65,2,1131362,Dale & Grand,1,SB,156193,770065002,1,,0
724,2,1131363,Brklyn Ctr / Transit Ctr,1,SB,161467,770724003,1,,0
534,1,1131364,American Blvd / Lyndale / 98St Station,0,EB,156037,770534002,1,,0
83,2,1131366,Lexington Pkwy / Rosedale,0,NB,155985,770083001,1,,0
